,WkD,Comment,Cost,Ppl,地点,天气,体重,Keyword,Food,移动
3/26/2019,2,,,,,,,,,
3/27/2019,3,,,,,,,,,
3/28/2019,4,,,,,,,,,
3/29/2019,5,,,,,,,,,
3/30/2019,6,,,,,,,,,
3/31/2019,7,,,,,,,,,
4/1/2019,1,,,,,,,,,
4/2/2019,2,,,,,,,,,
4/3/2019,3,,,,,,,,,
4/4/2019,4,,,,,,,,,
4/5/2019,5,,,,,,,,,
4/6/2019,6,,,,,,,,,
4/7/2019,7,,,,,,,,,
4/8/2019,1,,,,,,,,,
4/9/2019,2,,,,,,,,,
4/10/2019,3,,,,,,,,,
4/11/2019,4,,,,,,,,,
4/12/2019,5,,,,,,,,,
4/13/2019,6,,,,,,,,,
4/14/2019,7,,,,,,,,,
4/15/2019,1,,,,,,,,,
4/16/2019,2,,,,,,,,,
4/17/2019,3,,,,,,,,,
4/18/2019,4,,,,,,,,,
4/19/2019,5,,,,,,,,,
4/20/2019,6,,,,,,,,,
4/21/2019,7,,,,,,,,,
4/22/2019,1,,,,,,,,,
4/23/2019,2,,,,,,,,,
4/24/2019,3,,,,,,,,,
4/25/2019,4,,,,,,,,,
4/26/2019,5,,,,,,,,,
4/27/2019,6,,,,,,,,,
4/28/2019,7,,,,,,,,,
4/29/2019,1,,,,,,,,,
4/30/2019,2,,,,,,,,,
5/1/2019,3,,,,,,,,,
5/2/2019,4,,,,,,,,,
5/3/2019,5,,,,,,,,,
5/4/2019,6,,,,,,,,,
5/5/2019,7,,,,,,,,,
5/6/2019,1,,,,,,,,,
5/7/2019,2,,,,,,,,,
5/8/2019,3,,,,,,,,,
5/9/2019,4,,,,,,,,,
5/10/2019,5,,,,,,,,,
5/11/2019,6,,,,,,,,,
5/12/2019,7,"上次去hk11.16,到期.",,,,,,,,
5/13/2019,1,,,,,,,,,
5/14/2019,2,,,,,,,,,
5/15/2019,3,,,,,,,,,
5/16/2019,4,,,,,,,,,
5/17/2019,5,,,,,,,,,
5/18/2019,6,,,,,,,,,
5/19/2019,7,,,,,,,,,
5/20/2019,1,,,,,,,,,
5/21/2019,2,,,,,,,,,
5/22/2019,3,,,,,,,,,
5/23/2019,4,,,,,,,,,
5/24/2019,5,,,,,,,,,
5/25/2019,6,,,,,,,,,
5/26/2019,7,,,,,,,,,
5/27/2019,1,,,,,,,,,
5/28/2019,2,,,,,,,,,
5/29/2019,3,,,,,,,,,
5/30/2019,4,,,,,,,,,
5/31/2019,5,,,,,,,,,
6/1/2019,6,,,,,,,,,
6/2/2019,7,,,,,,,,,
6/3/2019,1,,,,,,,,,
6/4/2019,2,,,,,,,,,
6/5/2019,3,,,,,,,,,
6/6/2019,4,,,,,,,,,
6/7/2019,5,,,,,,,,,
6/8/2019,6,,,,,,,,,
6/9/2019,7,,,,,,,,,
6/10/2019,1,,,,,,,,,
6/11/2019,2,,,,,,,,,
6/12/2019,3,,,,,,,,,
6/13/2019,4,,,,,,,,,
6/14/2019,5,,,,,,,,,
6/15/2019,6,,,,,,,,,
6/16/2019,7,,,,,,,,,
6/17/2019,1,,,,,,,,,
6/18/2019,2,,,,,,,,,
6/19/2019,3,,,,,,,,,
6/20/2019,4,,,,,,,,,
6/21/2019,5,,,,,,,,,
6/22/2019,6,,,,,,,,,
6/23/2019,7,,,,,,,,,
6/24/2019,1,,,,,,,,,
6/25/2019,2,,,,,,,,,
6/26/2019,3,,,,,,,,,
6/27/2019,4,,,,,,,,,
6/28/2019,5,,,,,,,,,
6/29/2019,6,,,,,,,,,
6/30/2019,7,,,,,,,,,
7/1/2019,1,,,,,,,,,
7/2/2019,2,,,,,,,,,
7/3/2019,3,,,,,,,,,
7/4/2019,4,,,,,,,,,
7/5/2019,5,,,,,,,,,
7/6/2019,6,,,,,,,,,
7/7/2019,7,,,,,,,,,
7/8/2019,1,,,,,,,,,
7/9/2019,2,,,,,,,,,
7/10/2019,3,,,,,,,,,
7/11/2019,4,,,,,,,,,
7/12/2019,5,,,,,,,,,
7/13/2019,6,,,,,,,,,
7/14/2019,7,,,,,,,,,
7/15/2019,1,,,,,,,,,
7/16/2019,2,,,,,,,,,
7/17/2019,3,,,,,,,,,
7/18/2019,4,,,,,,,,,
7/19/2019,5,,,,,,,,,
7/20/2019,6,,,,,,,,,
7/21/2019,7,,,,,,,,,
7/22/2019,1,,,,,,,,,
7/23/2019,2,,,,,,,,,
7/24/2019,3,,,,,,,,,
7/25/2019,4,,,,,,,,,
7/26/2019,5,,,,,,,,,
7/27/2019,6,,,,,,,,,
7/28/2019,7,,,,,,,,,
7/29/2019,1,,,,,,,,,
7/30/2019,2,,,,,,,,,
7/31/2019,3,,,,,,,,,
8/1/2019,4,,,,,,,,,
8/2/2019,5,,,,,,,,,
8/3/2019,6,,,,,,,,,
8/4/2019,7,,,,,,,,,
8/5/2019,1,,,,,,,,,
8/6/2019,2,,,,,,,,,
8/7/2019,3,,,,,,,,,
8/8/2019,4,,,,,,,,,
8/9/2019,5,,,,,,,,,
8/10/2019,6,,,,,,,,,
8/11/2019,7,,,,,,,,,
8/12/2019,1,,,,,,,,,
8/13/2019,2,,,,,,,,,
8/14/2019,3,,,,,,,,,
8/15/2019,4,,,,,,,,,
8/16/2019,5,,,,,,,,,
8/17/2019,6,,,,,,,,,
8/18/2019,7,,,,,,,,,
8/19/2019,1,,,,,,,,,
8/20/2019,2,,,,,,,,,
8/21/2019,3,,,,,,,,,
8/22/2019,4,,,,,,,,,
8/23/2019,5,,,,,,,,,
8/24/2019,6,,,,,,,,,
8/25/2019,7,,,,,,,,,
8/26/2019,1,,,,,,,,,
8/27/2019,2,,,,,,,,,
8/28/2019,3,,,,,,,,,
8/29/2019,4,,,,,,,,,
8/30/2019,5,,,,,,,,,
8/31/2019,6,,,,,,,,,
9/1/2019,7,,,,,,,,,
9/2/2019,1,,,,,,,,,
9/3/2019,2,,,,,,,,,
9/4/2019,3,,,,,,,,,
9/5/2019,4,,,,,,,,,
9/6/2019,5,,,,,,,,,
9/7/2019,6,,,,,,,,,
9/8/2019,7,,,,,,,,,
9/9/2019,1,,,,,,,,,
9/10/2019,2,,,,,,,,,
9/11/2019,3,,,,,,,,,
9/12/2019,4,,,,,,,,,
9/13/2019,5,,,,,,,,,
9/14/2019,6,,,,,,,,,
9/15/2019,7,,,,,,,,,
9/16/2019,1,,,,,,,,,
9/17/2019,2,,,,,,,,,
9/18/2019,3,,,,,,,,,
9/19/2019,4,,,,,,,,,
9/20/2019,5,,,,,,,,,
9/21/2019,6,,,,,,,,,
9/22/2019,7,,,,,,,,,
9/23/2019,1,,,,,,,,,
9/24/2019,2,,,,,,,,,
9/25/2019,3,,,,,,,,,
9/26/2019,4,,,,,,,,,
9/27/2019,5,,,,,,,,,
9/28/2019,6,,,,,,,,,
9/29/2019,7,,,,,,,,,
9/30/2019,1,,,,,,,,,
10/1/2019,2,,,,,,,,,
10/2/2019,3,,,,,,,,,
10/3/2019,4,,,,,,,,,
10/4/2019,5,,,,,,,,,
10/5/2019,6,,,,,,,,,
10/6/2019,7,,,,,,,,,
10/7/2019,1,,,,,,,,,
10/8/2019,2,,,,,,,,,
10/9/2019,3,,,,,,,,,
10/10/2019,4,,,,,,,,,
10/11/2019,5,,,,,,,,,
10/12/2019,6,,,,,,,,,
10/13/2019,7,,,,,,,,,
10/14/2019,1,,,,,,,,,
10/15/2019,2,,,,,,,,,
10/16/2019,3,,,,,,,,,
10/17/2019,4,,,,,,,,,
10/18/2019,5,,,,,,,,,
10/19/2019,6,,,,,,,,,
10/20/2019,7,,,,,,,,,
10/21/2019,1,,,,,,,,,
10/22/2019,2,,,,,,,,,
10/23/2019,3,,,,,,,,,
10/24/2019,4,,,,,,,,,
10/25/2019,5,,,,,,,,,
10/26/2019,6,,,,,,,,,
10/27/2019,7,,,,,,,,,
10/28/2019,1,,,,,,,,,
10/29/2019,2,,,,,,,,,
10/30/2019,3,,,,,,,,,
10/31/2019,4,,,,,,,,,
11/1/2019,5,,,,,,,,,
11/2/2019,6,,,,,,,,,
11/3/2019,7,,,,,,,,,
11/4/2019,1,,,,,,,,,
11/5/2019,2,,,,,,,,,
11/6/2019,3,,,,,,,,,
11/7/2019,4,,,,,,,,,
11/8/2019,5,,,,,,,,,
11/9/2019,6,,,,,,,,,
11/10/2019,7,,,,,,,,,
11/11/2019,1,,,,,,,,,
11/12/2019,2,,,,,,,,,
11/13/2019,3,,,,,,,,,
11/14/2019,4,,,,,,,,,
11/15/2019,5,,,,,,,,,
11/16/2019,6,,,,,,,,,
11/17/2019,7,,,,,,,,,
11/18/2019,1,,,,,,,,,
11/19/2019,2,,,,,,,,,
11/20/2019,3,,,,,,,,,
11/21/2019,4,,,,,,,,,
11/22/2019,5,,,,,,,,,
11/23/2019,6,,,,,,,,,
11/24/2019,7,,,,,,,,,
11/25/2019,1,,,,,,,,,
11/26/2019,2,,,,,,,,,
11/27/2019,3,,,,,,,,,
11/28/2019,4,,,,,,,,,
11/29/2019,5,,,,,,,,,
11/30/2019,6,,,,,,,,,
12/1/2019,7,,,,,,,,,
12/2/2019,1,,,,,,,,,
12/3/2019,2,,,,,,,,,
12/4/2019,3,,,,,,,,,
12/5/2019,4,,,,,,,,,
12/6/2019,5,,,,,,,,,
12/7/2019,6,,,,,,,,,
12/8/2019,7,,,,,,,,,
12/9/2019,1,,,,,,,,,
12/10/2019,2,,,,,,,,,
12/11/2019,3,,,,,,,,,
12/12/2019,4,,,,,,,,,
12/13/2019,5,,,,,,,,,
12/14/2019,6,,,,,,,,,
12/15/2019,7,,,,,,,,,
12/16/2019,1,,,,,,,,,
12/17/2019,2,,,,,,,,,
12/18/2019,3,,,,,,,,,
12/19/2019,4,,,,,,,,,
12/20/2019,5,,,,,,,,,
12/21/2019,6,,,,,,,,,
12/22/2019,7,,,,,,,,,
12/23/2019,1,,,,,,,,,
12/24/2019,2,,,,,,,,,
12/25/2019,3,,,,,,,,,
12/26/2019,4,,,,,,,,,
12/27/2019,5,,,,,,,,,
12/28/2019,6,,,,,,,,,
12/29/2019,7,,,,,,,,,
12/30/2019,1,,,,,,,,,
12/31/2019,2,,,,,,,,,
